   epoch	Total loss	  Bce loss	Thresh loss	  L1 loss	Binary Acc	Binary IoU	   rescall	 precision	   hmean	
61.000000	1.181976	0.299046	0.277367	0.060556	0.781681	0.730646	0.000000	0.000000	0.000000	
62.000000	1.169907	0.297247	0.275650	0.059701	0.782492	0.731494	0.000000	0.000000	0.000000	
63.000000	1.220665	0.312853	0.293571	0.061424	0.783150	0.732177	0.000000	0.000000	0.000000	
64.000000	1.193748	0.304570	0.288864	0.060031	0.783844	0.732904	0.000000	0.000000	0.000000	
65.000000	1.205480	0.307137	0.285684	0.061266	0.784566	0.733628	0.000000	0.000000	0.000000	
66.000000	1.217203	0.310535	0.283546	0.062312	0.785146	0.734227	0.000000	0.000000	0.000000	
67.000000	1.166029	0.290954	0.273717	0.060136	0.785918	0.735019	0.000000	0.000000	0.000000	
68.000000	1.159826	0.294595	0.269049	0.059618	0.786670	0.735773	0.000000	0.000000	0.000000	
69.000000	1.157818	0.289758	0.270715	0.059735	0.787498	0.736568	0.000000	0.000000	0.000000	
70.000000	1.144824	0.288473	0.264023	0.059233	0.788191	0.737316	0.000000	0.000000	0.000000	
71.000000	1.144485	0.290003	0.263400	0.059108	0.788951	0.738079	0.000000	0.000000	0.000000	
72.000000	1.126705	0.281076	0.263717	0.058191	0.789658	0.738823	0.000000	0.000000	0.000000	
73.000000	1.149347	0.291289	0.268033	0.059002	0.790287	0.739480	0.000000	0.000000	0.000000	
74.000000	1.133857	0.281847	0.268306	0.058370	0.791021	0.740224	0.000000	0.000000	0.000000	
75.000000	1.144131	0.290163	0.265635	0.058833	0.791659	0.740887	0.000000	0.000000	0.000000	
76.000000	1.156015	0.292323	0.267901	0.059579	0.792308	0.741552	0.000000	0.000000	0.000000	
77.000000	1.110744	0.277577	0.258500	0.057467	0.792950	0.742238	0.000000	0.000000	0.000000	
78.000000	1.106364	0.277339	0.252695	0.057633	0.793658	0.742969	0.000000	0.000000	0.000000	
79.000000	1.108965	0.280001	0.255522	0.057344	0.794289	0.743635	0.000000	0.000000	0.000000	
80.000000	1.133160	0.282642	0.263619	0.058690	0.794834	0.744236	0.000000	0.000000	0.000000	
81.000000	1.157400	0.291372	0.277521	0.058851	0.795314	0.744758	0.000000	0.000000	0.000000	
82.000000	1.132487	0.282553	0.265455	0.058448	0.795947	0.745396	0.000000	0.000000	0.000000	
83.000000	1.114462	0.280367	0.259830	0.057427	0.796531	0.746006	0.000000	0.000000	0.000000	
84.000000	1.095001	0.272664	0.253017	0.056932	0.797088	0.746610	0.000000	0.000000	0.000000	
85.000000	1.098199	0.280049	0.246953	0.057120	0.797656	0.747195	0.000000	0.000000	0.000000	
86.000000	1.101463	0.277301	0.252028	0.057213	0.798185	0.747761	0.000000	0.000000	0.000000	
87.000000	1.075912	0.267875	0.246789	0.056125	0.798774	0.748377	0.000000	0.000000	0.000000	
88.000000	1.077278	0.270674	0.249562	0.055704	0.799364	0.748995	0.000000	0.000000	0.000000	
89.000000	1.079793	0.269627	0.252297	0.055787	0.799887	0.749570	0.000000	0.000000	0.000000	
90.000000	1.070787	0.268991	0.246430	0.055537	0.800461	0.750172	0.000000	0.000000	0.000000	
91.000000	1.072571	0.266574	0.245230	0.056077	0.801039	0.750768	0.000000	0.000000	0.000000	
